Output,RNG.number,Start.time,End.time,Initials,Notes
Subject_23.csv-Subject_23.mat,5095,2016\2\18\10:14 AM,2016\2\18\10:39 AM,MD,NA
Subject_27.csv-Subject_27.mat,136,2016\2\18\2:12 PM,2016\2\18\2:42 PM,MD,NA
Subject_45.csv-Subject_45.mat,2172,2016\2\25\4:40 PM,2016\2\25\5:06 PM,MD,NA
Subject_3.csv-Subject_3.mat,1360,2016\2\9\3:19 PM,2016\2\9\3:47 PM,KWP,Nothing to report
Subject_6.csv-Subject_6.mat,2139,2016\2\9\4:04 PM,2016\2\9\4:29 PM,KWP,Nothing to report
Subject_9.csv-Subject_9.mat,1420,2016\2\9\5:16 PM,2016\2\9\5:44 PM,KWP,Subject had some eye strain
Subject_12.csv-Subject_12.mat,4468,2016\2\9\6:09 PM,2016\2\9\6:38 PM,KWP,Nothing to report
Subject_22.csv-Subject_22.mat,8067,2016\2\18\10:08 AM,2016\2\18\10:36 AM,MD,
Subject_26.csv-Subject_26.mat,6122,2016\2\18\2:03 PM,2016\2\18\2:31 PM,sc,
Subject_32.csv-Subject_32.mat,6683,2016\2\18\3:10 PM,2016\2\18\3:38 PM,JV,
Subject_34.csv-Subject_34.mat,8920,2016\2\18\4:09 PM,2016\2\18\4:36 PM,MD,
Subject_41.csv-Subject_41.mat,5830,2016\2\25\2:39 PM,2016\2\25\3:05 PM,JV,
Subject_44.csv-Subject_44.mat,960,2016\2\25\4:35 PM,2016\2\25\5:01 PM,MD,
Subject_2.csv-Subject_2.mat,61,2016\2\9\3:08 PM,2016\2\9\3:39 PM,KWP,Nothing to report
Subject_5.csv-Subject_5.mat,7159,2016\2\9\3:54 PM,2016\2\9\4:26 PM,KWP,Nothing to report
Subject_8.csv-Subject_8.mat,5322,2016\2\9\5:07 PM,2016\2\9\5:36 PM,KWP,Subject had some eye strain
Subject_11.csv-Subject_11.mat,9060,2016\2\9\5:58 PM,2016\2\9\6:26 PM,KWP,Nothing to report
Subject_13.csv-Subject_13.mat,7236,2016\2\11\2:22 PM,2016\2\11\2:50 PM,KWP,Nothing to report
Subject_15.csv-Subject_15.mat,6567,2016\2\11\3:31 PM,2016\2\11\3:58 PM,,
Subject_17.csv-Subject_17.mat,15,2016\2\11\4:35 PM,2016\2\11\5:02 PM,KWP,Nothing to report
Subject_21.csv-Subject_21.mat,1476,2016\2\18\10:01 AM,2016\2\18\10:25 AM,MD,
Subject_31.csv-Subject_31.mat,8808,2016\2\18\3:04 PM,2016\2\18\3:30 PM,MD,
Subject_35.csv-Subject_35.mat,1335,2016\2\18\4:11 PM,2016\2\18\4:40 PM,MD,
Subject_38.csv-Subject_38.mat,5172,2016\2\18\5:02 PM,2016\2\18\5:29 PM,MD,
Subject_40.csv-Subject_40.mat,8207,2016\2\25\2:30 PM,2016\2\25\2:56 PM,JV,RNG matches subject 4
Subject_46.csv-Subject_46.mat,2544,2016\2\25\4:34 PM,2016\2\25\5:01 PM,MD-JV,
Subject_1.csv-Subject_1.mat,7407,2016\2\9\3:07 PM,2016\2\9\3:33 PM,KWP,Nothing to report
Subject_4.csv-Subject_4.mat,8207,2016\2\9\3:58 PM,2016\2\9\4:24 PM,KWP,Nothing to report
Subject_7.csv-Subject_7.mat,7588,2016\2\9\5:11 PM,2016\2\9\5:43 PM,KWP	,Adjusted screen during middle of experiment
Subject_10.csv-Subject_10.mat,7407,2016\2\9\5:58 PM,2016\2\9\6:31 PM,KWP,Logo was flashing at top of screen and RNG matches subject 1
Subject_14.csv-Subject_14.mat,6109,2016\2\11\3:35 PM,2016\2\11\4:02 PM,TN,It goes really fast 
Subject_16.csv-Subject_16.mat,7264,2016\2\11\4:40 PM,2016\2\11\5:06 PM,KWP,Nothing to report
Subject_18.csv-Subject_18.mat,8782,2016\2\11\5:36 PM,2016\2\11\6:04 PM,KWP,Nothing to report
Subject_19.csv-Subject_19.mat,9011,2016\2\18\9:03 AM,2016\2\18\9:32 AM,SC,
Subject_20.csv-Subject_20.mat,61,2016\2\18\10:03 AM,2016\2\18\10:33 AM,MD, RNG matches subject 2
Subject_24.csv-Subject_24.mat,7034,2016\2\18\10:58 AM,2016\2\18\11:25 AM,MD,
Subject_25.csv-Subject_25.mat,1921,2016\2\18\2:00 PM,2016\2\18\2:26 PM,sc,
Subject_30.csv-Subject_30.mat,1360,2016\2\18\3:06 PM,2016\2\18\3:32 PM,JV,RNG matches subject 3
Subject_33.csv-Subject_33.mat,6006,2016\2\18\3:47 PM,2016\2\18\4:19 PM,JV,
Subject_36.csv-Subject_36.mat,5553,2016\2\18\4:20 PM,2016\2\18\4:47 PM,MD,
Subject_37.csv-Subject_37.mat,2985,2016\2\18\5:02 PM,2016\2\18\5:30 PM,MD,
Subject_39.csv-Subject_39.mat,7536,2016\2\25\2:29 PM,2016\2\25\2:55 PM,JV,
Subject_42.csv-Subject_42.mat,7670,2016\2\25\3:20 PM,2016\2\25\3:49 PM,JV,
Subject_43.csv-Subject_43.mat,8877,2016\2\25\4:34 PM,2016\2\25\5:01 PM,MD,
